permision_delivery_date,n/o,id,march_route_name,company_name,company_name_external,border_crossing,border_crossing_alternative,march_route_time_direct,march_route_time_return,march_route_regularity,license_terms,destionation_country_name,destionation_country_code,march_route_status
04.12.2017,95,RU95,"Дніпро (вул. Курчатова,10) - Вороніж","ТОВ ""СІС""","ИП Стаханов С.В.|ТОВ ""САС""",Гоптівка,Плетенівка,13:00,13:00,Щоденно,2019-06-12 00:00:00,Росія,RU,True
,96,RU96,"Дніпро (вул. Курчатова,10)-Санкт-Петербург","ТзОВ Буковина Транс 
 м. Рубіжне, Луганська обл., вул. Померанчука, 15Е",без паритету,Гоптівка,,,,,2019-07-28 00:00:00,Росія,RU,True
,97,PL97,"Дніпро АС ""АВЦ"" (вул. Курчатова,10) - Свіноуйсьце","ТОВ ""ЛІНІЇ ПОЛІССЯ""",польський перевізник Jacek Legendziewicz Jordan Group,Устилуг, Ягодин,36:20,34:20,Щоденно,2020-07-23 00:00:00,Польща,PL,True
25.-5.2017,98,PL98,"Дніпро АС-АВС(вул. Курчатова,10) - Щецин","ПрАТ ""Львів-Інтуртранс""",Przedsiebiorstwo Komunikacji Samochodowej Zielona Gora Sp.z.o.o.,Краковець,,43:10,43:10,Щоденно,2020-05-24 00:00:00,Польща,PL,True
22.08.2016,99,PL99,Дніпро-Згожелець,"ТОВ ""Українські лінії""","""Ecolines Polsko"" Sp.z o.o.",Шегині ,Краковець,33:45,31:25,Щоденно,2019-08-21 00:00:00,Польща,PL,True
18.02.2019,103,RU103,Дніпро-Краснодар,"ПП ""АВТОЕКСПРЕСС-ДНІПРО""",ИП Лазебний Я.М.,Гоптівка,,26:00,26:00,Щоденно,2024-02-17 00:00:00,Росія,RU,True
18.02.2019,104,RU104,Дніпро-Ростов-на-Дону,"ПП ""АВТОЕКСПРЕСС_ДНІПРО""",ИП Лазебний Я.М.,Гоптівка,,20:00,20:55,Щоденно,2024-02-17 00:00:00,Росія,RU,True
,105,PL105,"Дніпрпетровськ (АС вул. Курчатова Академіка,10) - Лешно","ТОВ ""Юніверс"", 
 01032, м.Київ, вул. С. Петлюри20, кв.2. Ліцензія серії АД № 064891",MILLA SPOLDZIELNIA w Lesznie,Краковець,,,,,2019-02-24 00:00:00,Польща,PL,True
,112,RU112,Донецьк-Ростов-на-Дону,"СПД Павелко В.Ф. Донецька обл., м. Макіївка, п. Н-Каліново, вул. Лібкнехта, буд. 145 а.
 Ліцензія серії АВ № 114827",Без паритету,Успенка,,,,,2019-09-30 00:00:00,Росія,RU,True
,115,CZ115,"Драгово (вул. Центральна, 164) - Прага",ТОВ «ЛУБЕРТЯНОШБУС»,ALPHATRANS BUS s.r.o.|LUBJANO TRANS s.r.o.,Ужгород,Малий Березний,20:00|18:00,17:30,Щоденно,2019-11-14 00:00:00,Чехія,CZ,True
20.11.2017,116,PL116,Енергодар-Варшава,ФОП Опанасенко С.О.,P-Trans Sp.z o.o.,Устигул,,26:10,26:10,Щоденно,2020-11-19 00:00:00,Польща,PL,True
,120,BG120,"Житомир (вул. Київська, 93 - Бургас","ПП ""-ІНТЕРТРАНС-"" 
 10001, Житомирська обл., м. Житомир, вул. Київська, буд. 79, оф. 301","ЕООД ""НИШИКЛИ ТРАВЕЛ""",Рені,,,,,2020-01-08 00:00:00,Болгарія,BG,True
,121,RU121,Житомир-Москва,"ТОВ ""ЄВРО ТРАНС АВТОКОМ""","ООО ""МИТРАНС""",Бачівськ,,25:10,19:45,Щоденно,2020-09-10 00:00:00,Росія,RU,True
,122,RU122,Житомир-Москва,"ПП Лис-Авто-Транс 93120, м. Лисичанськ, Луганська обл.., пр. Леніна, 115/184.
 Ліцензія серії АД № 076951",ООО ЄвроВояж,Бачівськ,,,,,2023-01-25 00:00:00,Росія,RU,True
05.07.2016,123,BY123,"Залізний Порт (вул. Шкільна, 70б)-Гомель","ТОВ Автоекспрес 14037, м. Чернігів, вул. Борисенка, буд. 39 Ліцензія серії АГ № 504770",ОАО Гомельский ап № 1,Нові Яриловичі,,14:52,14:52,Щоденно,2021-04-28 00:00:00,Білорусь,BY,True
04.05.2017,124,PL124,"Запоріжжя (АВ, пр.. Соборний,20) - Слупськ","ТОВ ""ОДРІ"", 
 79016, м. Львів, вул. Меретина, 10/1. Ліцензія серії АВ № 545195",польський перевізник ODRI-PL Sp.z.o.o,Краковець ,Рава-Руська,41:50,43:10,Щоденно,2020-01-18 00:00:00,Польща,PL,True
"09,06.2017",126,PL126,"Запоріжжя (АС-1 вул. Леніна, 20) - Вроцлав",ФОП Потинге Г.С.,"""AGAT"" B.U.H.",Рава-Руська,,34:30,34:30,Щоденно,2020-08-06 00:00:00,Польща,PL,True
,127,RU127,"Запоріжжя (АС-1 вул. Леніна, 20) - Москва","ФОП Потинге Г.С.,
 м. Запоріжжя, вул. Піонерська, буд.69, Ліцензія АВ № 610977","ООО ""Клен-2""",Гоптівка,,,,,2019-02-28 00:00:00,Росія,RU,True
,128,MD128,"Запоріжжя (АС-1 вул. Леніна,20) - Штефан-Воде","ФОП Потинге Г.С.,
 м. Запоріжжя, вул. Піонерська, буд.69, Ліцензія АВ № 610977",без паритету,Маяки-Удобне,,16:00,16:00,Щоденно,2020-04-18 00:00:00,Молдова,MD,True
,129,MD129,"Запоріжжя (АС-1, пр. Леніна,22)-Кишинів","ФОП Налюшній І.О. 71100, м. Бердянськ , вул. Кірова б. 66,кв.49
 Ліцензія серії АВ № 532736",СРЛ БАЛТИКА-ТУР,Маяки,,16:10,17:00,Щоденно,2021-12-19 00:00:00,Молдова,MD,True
07.06.2018,130,RU130,Запоріжжя-Москва,"ТОВ""Українські лінії""","ООО""Амрон""",Плетенівка,,20:10,20:00,Щоденно,2020-01-17 00:00:00,Росія,RU,True
,131,PL131,"Запоріжжя (АС, пр. Леніна,22)-Бидгощ","ТзОВ ""Львівське АТП - 14631"", 
 79024, м. Львів, вул. Пластова, 10. Ліцензія серії АВ № 550341",EWE-TRANS,"Краковець, Рава Руська",,,,,2019-01-08 00:00:00,Польща,PL,True
,133,DE133,"Запоріжжя (ЦАВ пр. Леніна,20)-Кельн","ТОВ ""Вега-Райзен"" 
 03040, м. Київ, вул. Васильківська, буд. 22., фактична - м. Київ, вул. Златоустівська, 20 оф. 3 Ліцензія серії АВ № 616924",Hauerhof Busreisen GmbH,Краковець ,Шегині,51:00,49:40,Щоденно,2022-01-01 00:00:00,Німеччина,DE,True
18.12.2017,134,RU134,"Запоріжжя АВ (пр. Леніна, 20) - Ростов-на-Дону","ТОВ ""Альфа Транс""","ТОВ ""Стилет""",,,18:00,19:00,Щоденно,2020-01-18 00:00:00,Росія,RU,True
04.01.2017,135,RU135,"Запоріжжя АВ (пр. Соборний, 20) - Саратов","ПП ""Автоекспрес-Дніпро""
 ",Без паритету,Гоптівка,,21:00,21:30,Щоденно,2020-03-01 00:00:00,Росія,RU,True
08.09.2016,137,BY137,"Затока (АС вул.Вокзальна, 2) - Молодечно","ПП ""Біплан""","ООО ""Миноблавтотранс""",Нові Яриловичі,,25:00,25:00,Щоденно,2019-07-09 00:00:00,Білорусь,BY,True
,138,MD138,"Затока (вул. Приморська, 22) - Кишинів",без паритету,I.I. Covalciuc Anatolii,Старокозаче,,,,,2020-12-07 00:00:00,Молдова,MD,True
,140,MD140,"Затока (вул. Приморська,22)-Кишинів","ПАТ АІТ 02121, м. Київ, вул. Автопаркова, 7
 Ліцензія серії АГ № 588947",Жолнач Александру ИП,Старокозаче,,,,,2019-02-24 00:00:00,Молдова,MD,True
,141,MD141,"Затока (вул. Приморська,22)-Кишинів","ПАТ АІТ 02121, м. Київ, вул. Автопаркова, 7
 Ліцензія серії АГ № 588947",Жолнач Александру ИП,Старокозаче,,,,,2019-02-24 00:00:00,Молдова,MD,True
,142,MD142,Затока-Кишинів,без паритету,"S.R.L. ""Dac Trans Service""",Старокозаче,,07:00,05:50,Щоденно,2020-06-08 00:00:00,Молдова,MD,True
,143,MD143,Затока (вул. Приморська)-Бельци,ТОВ Євро-Люкс,S.A Partul de Autobuse din Balti S.R.L. Moldtrans-Tur,Старокозаче,,11:29,10:05,Щоденно,2019-01-08 00:00:00,Молдова,MD,True
,146,MD146,Затока-Кишинів,"ТОВ Август V 65017, м. Одеса, Люстдорфська дорога, 5.
 Ліцензія серії АВ № 532461",Гализ С В ООО,Старокозаче,,,,,2019-04-16 00:00:00,Молдова,MD,True
,147,MD147,Затока-Кишинів,"ТОВ Август V 65017, м. Одеса, Люстдорфська дорога, 5.
 Ліцензія серії АВ № 532461",Гализ С В ООО,Старокозаче,,,,,2019-04-16 00:00:00,Молдова,MD,True
,148,MD148,Затока-Кишинів,"ТОВ Август V 65017, м. Одеса, Люстдорфська дорога, 5.
 Ліцензія серії АВ № 532461",Гализ С В ООО,Старокозаче,,,,,2019-04-16 00:00:00,Молдова,MD,True
,149,MD149,Затока-Кишинів,"ТОВ Август V 65017, м. Одеса, Люстдорфська дорога, 5.
 Ліцензія серії АВ № 532461",Гализ С В ООО,Старокозаче,,,,,2019-04-16 00:00:00,Молдова,MD,True
,150,MD150,Затока-Кишинів,"ТОВ Август V 65017, м. Одеса, Люстдорфська дорога, 5.
 Ліцензія серії АВ № 532461",Гализ С В ООО,Старокозаче,,,,,2019-04-16 00:00:00,Молдова,MD,True
,152,MD152,Затока-Кишинів,без паритету,Жолнач Александру ИП,Старокозаче,,,,,2019-12-11 00:00:00,Молдова,MD,True
25.07.2017,155,PL155,Золочів (вул. Базарна)-Сталева Воля,"ТзОВ ""ЗолочівАвтоТранс""",ПКС Сталева Воля,Шегині,,08:45,08:45,"Всі дні, окрім понеділка ",2020-07-24 00:00:00,Польща,PL,True
,156,MD156,Затока-Флорешти,без паритету,"S.A. ""BTA-14""",Старокозаче,,10:35,,Щоденний,2020-06-26 00:00:00,Молдова,MD,True
,157,DE157,Івано-Франківськ (АВ)-Майєн,"СП ТОВ з ІІ Дотт-Кауфман і Ко 01054, м. Київ, вул. О. Гончара 65а, оф.3 Ліцензія серії АГ № 590975",Кауфманн ГмбХ,Шегині,,,,,2019-04-05 00:00:00,Німеччина,DE,True
